method,split,accuracy,precision,recall,f1,yes_ratio,TP,FP,TN,FN,total
majority_vote,random,87.2,97.04890387858347,76.73333333333333,85.7036485480268,39.53333333333333,1151,35,1465,349,3000
baseline_opera_trust,random,87.53333333333333,96.91666666666666,77.53333333333333,86.14814814814814,40.0,1163,37,1463,337,3000
opera_primary_vcd_veto,random,80.23333333333333,98.60664523043944,61.33333333333333,75.62679819153307,31.1,920,13,1487,580,3000
baseline_primary_vcd_double_veto,random,87.2,97.04890387858347,76.73333333333333,85.7036485480268,39.53333333333333,1151,35,1465,349,3000
agreement_then_conservative,random,87.2,97.04890387858347,76.73333333333333,85.7036485480268,39.53333333333333,1151,35,1465,349,3000
opera_baseline_hybrid,random,87.06666666666666,97.0389170896785,76.46666666666667,85.5331841909023,39.4,1147,35,1465,353,3000
majority_vote,popular,85.73333333333333,93.57723577235772,76.73333333333333,84.32234432234432,41.0,1151,79,1421,349,3000
baseline_opera_trust,popular,85.9,93.11449159327462,77.53333333333333,84.61258639505273,41.63333333333333,1163,86,1414,337,3000
opera_primary_vcd_veto,popular,79.5,96.33507853403141,61.33333333333333,74.94908350305498,31.833333333333336,920,35,1465,580,3000
baseline_primary_vcd_double_veto,popular,85.73333333333333,93.57723577235772,76.73333333333333,84.32234432234432,41.0,1151,79,1421,349,3000
agreement_then_conservative,popular,85.73333333333333,93.57723577235772,76.73333333333333,84.32234432234432,41.0,1151,79,1421,349,3000
opera_baseline_hybrid,popular,85.63333333333333,93.63265306122449,76.46666666666667,84.18348623853211,40.833333333333336,1147,78,1422,353,3000
majority_vote,adversarial,83.7,89.15569326103795,76.73333333333333,82.47939806520961,43.03333333333333,1151,140,1360,349,3000
baseline_opera_trust,adversarial,83.83333333333334,88.71090770404273,77.53333333333333,82.74635361081467,43.7,1163,148,1352,337,3000
opera_primary_vcd_veto,adversarial,78.2,92.5553319919517,61.33333333333333,73.77706495589415,33.13333333333333,920,74,1426,580,3000
baseline_primary_vcd_double_veto,adversarial,83.7,89.15569326103795,76.73333333333333,82.47939806520961,43.03333333333333,1151,140,1360,349,3000
agreement_then_conservative,adversarial,83.7,89.15569326103795,76.73333333333333,82.47939806520961,43.03333333333333,1151,140,1360,349,3000
opera_baseline_hybrid,adversarial,83.6,89.19129082426127,76.46666666666667,82.34027279253408,42.86666666666667,1147,139,1361,353,3000
